,source,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5281,city scrape,7.0,2.0,1.0,1.0,1.0,135.0,28.0,240.0,28.0,28.0,1125.0,1125.0,28.0,1125.0,1,4,34,309,0.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,0.25
5282,city scrape,9.0,2.0,1.0,1.0,1.0,340.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,18,48,78,258,0.0,0.0,0.0,5.0,5.0,8.0,8.0,0.0,0.0,0.25
5283,previous scrape,1.0,4.0,1.0,1.0,1.0,446.0,5.0,365.0,5.0,5.0,365.0,365.0,5.0,365.0,0,0,0,0,2.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.25
5284,city scrape,82.0,2.0,1.0,1.0,1.0,446.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5285,city scrape,82.0,1.0,1.0,1.0,1.0,323.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5286,city scrape,82.0,2.0,1.0,1.0,1.0,340.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5287,city scrape,82.0,2.0,1.0,1.0,1.0,340.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5288,city scrape,82.0,1.0,1.0,1.0,1.0,245.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5289,city scrape,82.0,1.0,1.0,1.0,1.0,245.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5290,previous scrape,82.0,1.0,1.0,1.0,1.0,476.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5291,city scrape,82.0,1.0,1.0,1.0,1.0,476.0,28.0,90.0,28.0,28.0,90.0,90.0,28.0,90.0,0,0,0,33,0.0,0.0,0.0,4.7,4.7,79.0,9.0,70.0,0.0,0.41
5292,city scrape,40.0,1.0,1.0,1.0,1.0,329.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,3,33,63,287,1.0,1.0,0.0,4.7,4.7,39.0,39.0,0.0,0.0,0.41
5293,city scrape,40.0,2.0,1.0,1.0,1.0,399.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,0,0,0,164,0.0,0.0,0.0,4.0,4.0,39.0,39.0,0.0,0.0,0.13
5294,city scrape,1.0,1.0,1.0,1.0,1.0,220.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,8,18,34,211,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.13
5295,previous scrape,19.0,2.0,1.0,1.0,1.0,1000.0,28.0,365.0,28.0,28.0,365.0,365.0,28.0,365.0,0,0,0,0,0.0,0.0,0.0,4.0,4.0,13.0,0.0,13.0,0.0,0.13
5296,city scrape,2.0,1.0,1.0,1.0,1.0,1000.0,2.0,365.0,2.0,2.0,365.0,365.0,2.0,365.0,20,50,80,260,1.0,1.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,0.13
5297,city scrape,1.0,2.0,1.0,1.0,0.0,887.0,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,8,8,8,8,1.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.1
5298,city scrape,155.0,2.0,1.0,1.0,1.0,921.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,90,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.33
5299,city scrape,155.0,2.0,1.0,1.0,1.0,921.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,7,37,67,157,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.33
5300,city scrape,155.0,2.0,1.0,1.0,1.0,921.0,30.0,180.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,5,35,65,245,0.0,0.0,0.0,5.0,5.0,85.0,19.0,66.0,0.0,0.33
